40.0 0.36 3.04 0.49 0.358 0.175 0.21899999999999997
50.0 0.65 4.17 0.6 0.278 0.175 0.21899999999999997
60.0 1.01 4.58 0.53 0.27899999999999997 0.17 0.212
70.0 1.19 5.13 0.5 0.233 0.17 0.212
80.0 1.24 5.54 0.27 0.28600000000000003 0.146 0.114
90.0 1.25 5.52 0.0 0.40700000000000003 0.213 0.075
100.0 1.41 5.34 -0.04 0.192 0.171 0.214
110.0 1.32 5.27 0.01 0.17 0.17 0.212
120.0 1.58 5.64 0.15 0.17 0.17 0.212
130.0 1.54 6.0 0.07 0.182 0.182 0.22699999999999998
140.0 1.58 6.31 0.24 0.20600000000000002 0.20600000000000002 0.257
150.0 1.41 6.49 0.38 0.17 0.17 0.212
160.0 1.26 6.47 0.38 0.18600000000000003 0.18600000000000003 0.23199999999999998
170.0 1.24 6.01 0.28 0.205 0.205 0.257
180.0 1.62 6.07 0.25 0.134 0.134 0.16699999999999998
190.0 1.74 6.32 0.29 0.131 0.131 0.16399999999999998
200.0 1.8 6.57 0.28 0.141 0.12 0.028999999999999998
210.0 1.85 6.8 0.34 0.023 0.22899999999999998 0.028999999999999998
220.0 1.92 6.94 0.46 0.125 0.026000000000000002 0.032
230.0 2.03 6.77 0.59 0.09 0.09 0.11199999999999999
240.0 2.18 6.61 0.75 0.185 0.06 0.075
250.0 2.45 6.48 0.9 0.098 0.092 0.115
260.0 2.21 6.4 0.97 0.18600000000000003 0.06 0.075
270.0 1.78 6.39 1.0 0.098 -9999.0 0.12300000000000001
280.0 1.65 6.45 1.02 0.23600000000000002 -9999.0 0.045
290.0 1.59 6.52 1.04 0.35100000000000003 -9999.0 0.045
300.0 1.55 6.48 1.05 0.402 -9999.0 0.09
310.0 1.59 6.28 1.04 0.38299999999999995 -9999.0 0.113
320.0 1.76 6.02 1.01 0.43200000000000005 0.326 0.024
330.0 1.87 5.85 0.95 0.353 0.32799999999999996 0.024
340.0 1.97 5.94 0.89 0.34600000000000003 0.32 0.046
350.0 2.03 6.6 0.86 0.132 0.132 0.165
360.0 1.98 8.79 0.89 0.16899999999999998 0.16899999999999998 0.21100000000000002
370.0 1.82 9.86 0.94 0.17300000000000001 0.17300000000000001 0.217
380.0 1.59 10.09 0.99 0.17300000000000001 0.17300000000000001 0.217
410.0 1.17 9.82 1.27 0.214 0.235 0.267
420.0 1.41 9.95 3.98 0.214 0.235 0.267
430.0 1.88 10.22 4.43 0.17300000000000001 0.75 0.21600000000000003
440.0 2.38 10.63 1.68 0.382 -9999.0 0.21600000000000003
460.0 5.9 11.28 5.57 0.546 0.032 0.008
470.0 6.59 11.39 -3.02 0.435 0.032 0.008
480.0 6.81 11.63 -1.97 0.25 0.09300000000000001 0.0
490.0 7.25 5.93 -1.99 0.23 0.019 0.024
500.0 7.33 5.7 -2.0 0.23 -9999.0 0.024
