3.673329541588283252e-03 3.409165580215435185e-03 3.029994410790550711e-03 2.719225256503192412e-03 2.625229897312858756e-03 2.526455068546611463e-03 2.350334066125326499e-03 2.245416302092569354e-03 2.371656183361726608e-03 2.808717852128914810e-03 3.174137932126090775e-03 3.276897535773211356e-03 3.169637588463939358e-03 2.902350501504456608e-03 2.671597172947823978e-03 2.589211926375315116e-03
3.662750638299848080e-03 3.451346845767326067e-03 3.095530755857974717e-03 2.766526383333370743e-03 2.586897427203456098e-03 2.453869598742439324e-03 2.351412762182706912e-03 2.239118913555348134e-03 2.252559685489098976e-03 2.615876273251802747e-03 2.993106322720975095e-03 3.198733266877463316e-03 3.216047210519097903e-03 3.041856715468516797e-03 2.800212908368427626e-03 2.606100140722549582e-03
3.577872545877229440e-03 3.445375898802151282e-03 3.180801921749173977e-03 2.851925317342072271e-03 2.608769293498553517e-03 2.460434481611651659e-03 2.345875626316801677e-03 2.234657146411946939e-03 2.191300596782087915e-03 2.429177649874512523e-03 2.819177479359670849e-03 3.111005472473594990e-03 3.208333429148767148e-03 3.115405189766733921e-03 2.913510093761066417e-03 2.665459909832205466e-03
3.434365421386858554e-03 3.415609615254675338e-03 3.233744187783260931e-03 2.926116361269002000e-03 2.656935785654603900e-03 2.526644984121881408e-03 2.330687100397347243e-03 2.219460845578448329e-03 2.186117934569924929e-03 2.286734976277949010e-03 2.577854656805646846e-03 2.894832650790018624e-03 3.117697360803082726e-03 3.065664185874818638e-03 2.910392025468723411e-03 2.675904284454460203e-03
3.286252016671767189e-03 3.364481731861589456e-03 3.221103406294066000e-03 2.972063304301337649e-03 2.705207162778307164e-03 2.586508623561995391e-03 2.390164371835633642e-03 2.254529601308149882e-03 2.232068368132381596e-03 2.204204639588042223e-03 2.367814421030008804e-03 2.648776583322463504e-03 2.946724111173673957e-03 2.991803607549453365e-03 2.939272279840704147e-03 2.714934037646272395e-03
3.135364010229498531e-03 3.268048228415474429e-03 3.158339240678220868e-03 2.971212452446252757e-03 2.747467881071100158e-03 2.646981151782760912e-03 2.468825891230496099e-03 2.348414453817882202e-03 2.296990146357744990e-03 2.219833631827916424e-03 2.252093552505757875e-03 2.401473954349268337e-03 2.710395896823275790e-03 4.672426093163886685e-04 4.040459826733176210e-04 2.580143880910196804e-03
3.127875755661295269e-03 3.183893273837757297e-03 3.124515394023954108e-03 2.996419841057476000e-03 2.797520611733793783e-03 2.656089811544131308e-03 2.503970408986276597e-03 2.422533388377749817e-03 2.391915881725651359e-03 2.284708645976737257e-03 2.286865567531620562e-03 2.345230732561691227e-03 2.545683019244633638e-03 -1.301939093074884176e-03 -1.521757452929662626e-03 2.593101355343768299e-03
2.938544499377628190e-03 3.106642964559677093e-03 3.085638920252405017e-03 2.998096739311395531e-03 2.824052156828980864e-03 2.651411746050132915e-03 2.519333946018507790e-03 2.479698740400550563e-03 2.458630907790131537e-03 2.403053787185291390e-03 -1.811833642211734203e-04 -1.923781397542349792e-04 -1.565067805225410177e-04 -1.660036806998153132e-03 -1.538143189062530234e-03 1.686377314918125891e-04
2.611164496036375189e-03 2.905909009405499739e-03 2.991719136067987929e-03 2.973830943221569215e-03 2.819477143054584592e-03 2.686765360839460121e-03 2.580800158256625534e-03 2.513563444946338796e-03 2.491881791551987628e-03 2.505522982434270265e-03 -2.221071677622222466e-03 -2.260334512057727511e-03 -2.304086220162585106e-03 -2.054502622582183007e-03 -1.492821423224055923e-03 -1.494940840458263039e-03
2.290801083519794674e-03 2.582028439073005485e-03 2.790462410581385361e-03 2.921311151027776443e-03 2.828384963420993350e-03 2.711703434430737247e-03 2.625958044023195964e-03 2.537327803851700727e-03 2.529562990067897848e-03 2.482867237594555722e-03 2.501706298285338078e-04 3.862359440063163315e-04 3.330995581491964612e-04 -1.744502252154720486e-03 -1.615905981422357607e-03 -1.549503848320114277e-03
1.683395911420999401e-04 2.305646758792829522e-03 2.558989387767702291e-03 2.772279935848043914e-03 2.823786001530477138e-03 2.746692919918931625e-03 2.696477155192885961e-03 2.598291941199770867e-03 2.578695250746854042e-03 2.506987510253719503e-03 2.763110990390899545e-03 2.892812261698001191e-03 2.880577364004260812e-03 7.514851422818706172e-04 9.589894394457775537e-04 1.139312549226323672e-03
-1.679999264502037622e-03 2.130724684179805331e-03 2.404761332908785659e-03 2.579969217337250292e-03 2.761876782469490591e-03 2.781938634437388768e-03 2.774967403237326054e-03 2.643120091663448638e-03 2.638174579840650395e-03 2.554400919854556747e-03 2.619031473947599879e-03 2.716632401128001115e-03 2.784218468118557568e-03 2.893828548223710984e-03 3.010799829058031195e-03 3.247420213869101676e-03
1.520550935426224397e-03 2.433631495881730979e-03 2.234278336332460278e-03 2.344912869902611528e-03 2.580075974211603999e-03 2.714862534062885240e-03 2.716281247622384046e-03 2.616605223298542129e-03 2.600872934868405078e-03 2.587739312386729690e-03 2.536833829707759152e-03 2.621098686715889105e-03 2.650690970016161396e-03 2.735475252438581990e-03 2.813037928409418791e-03 2.800592867884044330e-03
4.201644514896475321e-03 2.982064678009526543e-03 2.334455585619569368e-03 2.206382279621243482e-03 2.348606312148428243e-03 2.487564582453780787e-03 2.521543213041120123e-03 2.513005742843160261e-03 2.523181621385645838e-03 2.592104898596675391e-03 2.552804628655573442e-03 2.571347828102153125e-03 2.569972292534461727e-03 2.609803557546469879e-03 2.670507134585390491e-03 2.563638149029922979e-03
4.124247360664626792e-03 3.417403843988844805e-03 2.683363189350362887e-03 2.322239789270895850e-03 2.222371093442801135e-03 2.269372815953951943e-03 2.355663494562247953e-03 2.406580165929108738e-03 2.458250333555587162e-03 2.543144034450194654e-03 2.551103200561774097e-03 2.528928944261704583e-03 2.534700494681596441e-03 2.576527440974697627e-03 2.620970586005699071e-03 2.527465395017039051e-03
3.714127439257133064e-03 3.542348619016594778e-03 3.031565859638843570e-03 2.604792986216787360e-03 2.321802694555312116e-03 2.252066560354669834e-03 2.306240740444230868e-03 2.361252928047716682e-03 2.378160568727197971e-03 2.451797477770596007e-03 2.490308670494007642e-03 2.464435713304734786e-03 2.469561907699366517e-03 2.476882591053501843e-03 2.525091293571558263e-03 2.431727592470670028e-03
