-200.0,-350.0,1.0
-200.0,-350.0,3.0
-200.0,-350.0,5.0
-200.0,-350.0,7.0
-200.0,-350.0,9.0
-200.0,-350.0,11.0
-200.0,-350.0,13.0
-200.0,-350.0,15.0
-200.0,-350.0,17.0
-200.0,-350.0,19.0
-200.0,-350.0,21.0
-200.0,-350.0,23.0
-200.0,-350.0,25.0
-200.0,-350.0,27.0
-200.0,-350.0,29.0
-200.0,-350.0,31.0
-200.0,-350.0,33.0
-200.0,-350.0,35.0
-200.0,-350.0,37.0
-200.0,-350.0,39.0
-200.0,-350.0,41.0
-200.0,-350.0,43.0
-200.0,-350.0,45.0
-200.0,-350.0,47.0
-200.0,-350.0,49.0
-200.0,-350.0,51.0
-200.0,-350.0,53.0
-200.0,-350.0,55.0
-200.0,-350.0,57.0
-200.0,-350.0,59.0
-200.0,-350.0,61.0
-200.0,-350.0,63.0
-200.0,-350.0,65.0
-200.0,-350.0,67.0
-200.0,-350.0,69.0
-200.0,-350.0,71.0
-200.0,-350.0,73.0
-200.0,-350.0,75.0
-200.0,-350.0,77.0
-200.0,-350.0,79.0
-200.0,-350.0,81.0
-200.0,-350.0,83.0
-200.0,-350.0,85.0
-200.0,-350.0,87.0
-200.0,-350.0,89.0
-200.0,-350.0,91.0
-200.0,-350.0,93.0
-200.0,-350.0,95.0
-200.0,-350.0,97.0
-200.0,-350.0,99.0
-200.0,-350.0,101.0
-200.0,-350.0,103.0
-200.0,-350.0,105.0
-200.0,-350.0,107.0
-200.0,-350.0,109.0
-200.0,-350.0,111.0
-200.0,-350.0,113.0
-200.0,-350.0,115.0
-200.0,-350.0,117.0
-200.0,-350.0,119.0
-200.0,-350.0,121.0
-200.0,-350.0,123.0
-200.0,-350.0,125.0
-200.0,-350.0,127.0
-200.0,-350.0,129.0
-200.0,-350.0,131.0
-200.0,-350.0,133.0
-200.0,-350.0,135.0
-200.0,-350.0,137.0
-200.0,-350.0,139.0
-200.0,-350.0,141.0
-200.0,-350.0,143.0
-200.0,-350.0,145.0
-200.0,-350.0,147.0
-200.0,-350.0,149.0
-200.0,-350.0,151.0
-200.0,-350.0,153.0
-200.0,-350.0,155.0
-200.0,-350.0,157.0
-200.0,-350.0,159.0
-200.0,-350.0,161.0
-200.0,-350.0,163.0
-200.0,-350.0,165.0
-200.0,-350.0,167.0
-200.0,-350.0,169.0
-200.0,-350.0,171.0
-200.0,-350.0,173.0
-200.0,-350.0,175.0
-200.0,-350.0,177.0
-200.0,-350.0,179.0
-200.0,-350.0,181.0
-200.0,-350.0,183.0
-200.0,-350.0,185.0
-200.0,-350.0,187.0
-200.0,-350.0,189.0
-200.0,-350.0,191.0
-200.0,-350.0,193.0
-200.0,-350.0,195.0
-200.0,-350.0,197.0
-200.0,-350.0,199.0
-200.0,-350.0,201.0
-200.0,-350.0,203.0
-200.0,-350.0,205.0
-200.0,-350.0,207.0
-200.0,-350.0,209.0
-200.0,-350.0,211.0
-200.0,-350.0,213.0
-200.0,-350.0,215.0
-200.0,-350.0,217.0
-200.0,-350.0,219.0
-200.0,-350.0,221.0
-200.0,-350.0,223.0
-200.0,-350.0,225.0
-200.0,-350.0,227.0
-200.0,-350.0,229.0
-200.0,-350.0,231.0
-200.0,-350.0,233.0
-200.0,-350.0,235.0
-200.0,-350.0,237.0
-200.0,-350.0,239.0
-200.0,-350.0,241.0
-200.0,-350.0,243.0
-200.0,-350.0,245.0
-200.0,-350.0,247.0
-200.0,-350.0,249.0
-200.0,-350.0,251.0
-200.0,-350.0,253.0
-200.0,-350.0,255.0
-200.0,-350.0,257.0
-200.0,-350.0,259.0
-200.0,-350.0,261.0
-200.0,-350.0,263.0
-200.0,-350.0,265.0
-200.0,-350.0,267.0
-200.0,-350.0,269.0
-200.0,-350.0,271.0
-200.0,-350.0,273.0
-200.0,-350.0,275.0
-200.0,-350.0,277.0
-200.0,-350.0,279.0
-200.0,-350.0,281.0
-200.0,-350.0,283.0
-200.0,-350.0,285.0
-200.0,-350.0,287.0
-200.0,-350.0,289.0
-200.0,-350.0,291.0
-200.0,-350.0,293.0
-200.0,-350.0,295.0
-200.0,-350.0,297.0
-200.0,-350.0,299.0
-200.0,-350.0,301.0
-200.0,-350.0,303.0
-200.0,-350.0,305.0
-200.0,-350.0,307.0
-200.0,-350.0,309.0
-200.0,-350.0,311.0
-200.0,-350.0,313.0
-200.0,-350.0,315.0
-200.0,-350.0,317.0
-200.0,-350.0,319.0
-200.0,-350.0,321.0
-200.0,-350.0,323.0
-200.0,-350.0,325.0
-200.0,-350.0,327.0
-200.0,-350.0,329.0
-200.0,-350.0,331.0
-200.0,-350.0,333.0
-200.0,-350.0,335.0
-200.0,-350.0,337.0
-200.0,-350.0,339.0
-200.0,-350.0,341.0
-200.0,-350.0,343.0
-200.0,-350.0,345.0
-200.0,-350.0,347.0
-200.0,-350.0,349.0
-200.0,-350.0,351.0
-200.0,-350.0,353.0
-200.0,-350.0,355.0
-200.0,-350.0,357.0
-200.0,-350.0,359.0
-200.0,-350.0,361.0
-200.0,-350.0,363.0
-200.0,-350.0,365.0
-200.0,-350.0,367.0
-200.0,-350.0,369.0
