-0.361 4.588 0.0435 309.552 1.407 0.10849999999999999 5.6165 -0.052500000000000005 309.108 1.606 1.45 6.4235 -0.1165 308.957 1.86 1.516 5.779 0.0045 309.452 1.977 0.5445 5.0695 0.0035000000000000014 309.63 1.74 0.062 4.677 0.008499999999999999 309.682 1.601 0.243 5.166 -0.1185 309.22 1.52 -0.032 3.9325 0.039 309.676 1.328 -0.04350000000000001 4.3605 0.001 309.527 1.369 0.7769999999999999 4.699999999999999 -0.0095 309.555 1.431 1.3264999999999998 4.8335 -0.042 309.416 1.44 0.9165 4.6465 0.0125 309.548 1.5 0.1885 4.743 0.036 309.711 1.752 0.0765 4.9615 0.036500000000000005 309.638 1.759 0.4215 5.148 0.061 309.541 1.85 0.7985 5.646000000000001 0.0245 309.431 1.881 
0.16249999999999998 4.9 0.033 309.564 1.493 0.55 5.819 -0.0545 309.185 1.72 1.6880000000000002 6.390000000000001 -0.07 309.038 2.069 1.391 5.4375 0.0225 309.544 1.969 0.010000000000000009 4.543 0.0365 309.843 1.665 -0.523 4.5184999999999995 0.022500000000000003 309.766 1.59 0.1015 5.2195 -0.11699999999999999 309.282 1.443 0.1915 3.8514999999999997 0.001999999999999999 309.582 1.208 0.0005000000000000004 3.7925 0.0005 309.64 1.192 0.672 4.1665 -0.020499999999999997 309.573 1.251 1.566 4.8045 -0.068 309.341 1.364 1.53 4.6515 0.008 309.485 1.533 0.8515 4.156000000000001 0.033 309.748 1.552 0.3165 3.8659999999999997 0.029500000000000002 309.708 1.508 -0.064 3.8675 0.0835 309.781 1.525 0.0030000000000000027 4.718 0.056999999999999995 309.58 1.698 
0.6865 5.101 0.023999999999999997 309.583 1.615 0.871 5.641 -0.0435 309.342 1.729 1.6305 5.7485 -0.0195 309.256 2.105 1.276 4.948 0.020499999999999997 309.602 1.857 -0.09700000000000003 4.118 0.0385 309.852 1.562 -0.8975 4.218 0.0415 309.831 1.548 -0.3275 5.24 -0.055999999999999994 309.356 1.585 0.1405 4.3134999999999994 -0.07100000000000001 309.376 1.11 0.0835 3.8255 -0.0165 309.57 1.083 0.8265 4.1434999999999995 -0.0595 309.409 1.123 1.7865 5.0645 -0.075 309.195 1.498 1.5594999999999999 4.516 0.0305 309.572 1.682 0.881 3.697 0.013 309.651 1.369 0.3175 3.3135000000000003 -0.024 309.428 1.159 -0.403 3.2504999999999997 0.0405 309.601 1.204 -0.459 3.9399999999999995 0.023 309.457 1.427 
0.8965000000000001 4.913 0.0215 309.66 1.623 1.081 5.154999999999999 -0.0325 309.455 1.643 1.371 4.8225 0.022500000000000003 309.563 1.877 1.077 4.4235 0.0095 309.621 1.617 0.20750000000000002 3.8369999999999997 0.015 309.65 1.385 -0.893 3.955 0.043000000000000003 309.799 1.449 -0.979 4.9559999999999995 0.036000000000000004 309.62 1.675 -0.22800000000000004 5.3100000000000005 -0.1115 309.186 1.311 0.306 4.711 -0.0435 309.403 1.161 1.3145 4.98 -0.115 309.133 1.19 1.9104999999999999 5.432499999999999 -0.0505 309.183 1.712 1.0675 4.427 0.048 309.699 1.558 0.4655 3.7415 -0.035500000000000004 309.434 1.141 0.266 3.689 -0.0955 309.174 0.99 -0.3175 3.7154999999999996 -0.034 309.369 1.093 -0.342 4.064 -0.0645 309.256 1.098 
0.923 4.438 -0.006500000000000001 309.601 1.448 1.162 4.651 -0.0265 309.49 1.496 0.8905 4.0405 0.055 309.793 1.595 0.6819999999999999 4.0075 -0.001 309.528 1.367 0.586 3.669 -0.014 309.419 1.212 -0.27849999999999997 3.849 0.013 309.569 1.323 -1.0230000000000001 4.532 0.076 309.82 1.601 -0.648 5.878 -0.038000000000000006 309.342 1.716 0.41200000000000003 5.806 -0.039 309.314 1.535 1.7254999999999998 6.140000000000001 -0.1135 309.027 1.592 1.6689999999999998 5.63 0.0055 309.369 1.886 0.38349999999999995 4.742 0.039 309.696 1.473 0.149 4.671 -0.10300000000000001 309.182 1.131 0.308 4.9315 -0.1325 309.118 1.191 -0.1195 4.792 -0.066 309.327 1.259 -0.08 5.132 -0.1305 309.137 1.263 
1.0025 4.3955 -0.079 309.339 1.222 1.12 4.5440000000000005 -0.015 309.482 1.43 0.28099999999999997 3.684 0.074 309.852 1.39 0.181 3.7110000000000003 -0.01 309.362 1.183 0.838 3.6334999999999997 -0.034 309.294 1.068 0.8265 3.9855 -0.0325 309.274 1.261 -0.03150000000000003 4.351 0.0565 309.72 1.533 -0.4565 5.4905 0.057 309.689 1.972 0.42300000000000004 6.032 0.011 309.435 1.874 1.463 6.422000000000001 -0.033 309.237 2.032 0.8125 5.547499999999999 0.0565 309.65 1.917 -0.201 5.306 0.031 309.586 1.633 0.268 5.916 -0.112 309.039 1.535 0.5425 6.1075 -0.0875 309.271 1.728 -0.047000000000000014 5.401 -0.016 309.568 1.682 -0.07150000000000001 5.797000000000001 -0.08600000000000001 309.203 1.743 
1.205 5.1955 -0.1295 309.122 1.268 1.0405 4.896 0.012499999999999999 309.533 1.545 -0.23900000000000005 3.8965 0.075 309.783 1.272 -0.17600000000000002 3.8070000000000004 -0.038 309.2 1.05 1.0070000000000001 3.8985 -0.047 309.214 1.053 1.8130000000000002 4.443 -0.057499999999999996 309.099 1.33 1.3815 4.4565 0.0255 309.466 1.569 0.581 4.825 0.0715 309.858 1.797 0.6964999999999999 5.3895 0.045500000000000006 309.698 1.848 0.8775 5.7135 0.035 309.617 1.974 -0.0040000000000000036 5.319 0.078 309.856 1.869 -0.4315 5.4355 0.053500000000000006 309.583 1.912 0.533 6.0695 -0.0235 309.172 1.952 0.9450000000000001 6.096 0.008 309.062 1.096 0.3315 5.0685 0.046 309.356 0.962 0.1495 5.151 0.0155 309.537 1.864 
1.2235 5.918 -0.0655 309.332 1.68 0.616 5.371 0.0275 309.697 1.626 -0.7055 4.5634999999999994 0.07050000000000001 309.686 1.322 -0.21550000000000002 4.916 -0.0955 308.936 1.17 1.321 4.85 -0.0795 309.064 1.153 2.3449999999999998 5.134 -0.0445 309.107 1.525 2.314 4.7115 0.007 309.381 1.616 1.7399999999999998 4.62 0.028499999999999998 309.686 1.593 1.3965 4.7475000000000005 0.0485 309.798 1.693 0.9784999999999999 4.8665 0.053000000000000005 309.836 1.796 0.1385 4.968 0.07150000000000001 310.069 1.839 -0.21 4.8375 0.07200000000000001 309.941 1.855 0.38949999999999996 4.944 0.056999999999999995 309.671 1.941 0.9115 5.029 0.0625 309.051 0.896 0.827 4.361 0.0425 308.972 0.678 0.7210000000000001 4.0835 0.0475 309.7 1.553 
0.921 5.6080000000000005 0.05450000000000001 309.863 1.941 -0.15000000000000002 5.710000000000001 0.0045000000000000005 309.799 1.735 -1.1524999999999999 5.0655 0.08700000000000001 309.757 1.579 -0.08849999999999991 6.3149999999999995 -0.092 308.841 1.703 1.6885000000000001 6.215 -0.09050000000000001 308.968 1.573 2.3555 5.789 -0.011 309.301 1.76 2.5035 5.1345 -0.011 309.443 1.607 2.467 4.911 -0.005 309.451 1.645 2.044 4.404 0.0625 309.799 1.661 1.4985 4.257 0.056499999999999995 309.914 1.619 1.0215 4.3845 0.053500000000000006 309.482 0.788 0.6285000000000001 3.9559999999999995 0.05449999999999999 309.367 0.712 0.3875 3.7515 0.066 309.263 0.675 0.502 3.982 0.0645 308.753 0.535 0.9019999999999999 3.9875 0.0 308.468 0.419 1.204 3.649 0.0135 308.871 0.543 
0.441 4.741 0.134 310.151 1.885 -0.3185 5.783 -0.005999999999999999 309.709 1.737 -0.9259999999999999 4.9375 0.11199999999999999 310.014 1.642 -0.04349999999999998 6.1725 0.027 309.313 2.1 1.3984999999999999 6.6515 -0.006500000000000001 309.287 2.077 1.8725 6.201 0.0215 309.533 1.88 2.3085 5.7435 -0.009000000000000001 309.486 1.687 2.46 5.162 0.0335 309.493 1.782 1.7545000000000002 4.1505 0.08800000000000001 309.893 1.551 1.1695 3.8445 0.0565 309.83 1.423 1.1615 3.7835 0.028999999999999998 308.786 0.478 1.0554999999999999 3.416 0.0225 308.509 0.382 0.425 3.218 0.054 308.53 0.377 0.037500000000000006 3.5469999999999997 0.057 308.449 0.386 0.5385 4.0920000000000005 -0.011999999999999999 308.202 0.386 1.2845 3.964 -0.0225 308.483 0.459 
